"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"ITN_EASTING"|"ITN_NORTHING"|"ITN_TOID"|"ITN_TOID_VERSION"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"VERIFIED_ADDRESS"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
54825031|"Hair'em Scare'em"|"02100156"|291697.8|92362.2|1|""|"0001000012292202"|6|291728.1|92338.1|"4000000025320942"|"6"|38.7|"12 McCoys Arcade"|"Fore Street"|"Exeter"|"Devon"|"EX4 3AN"|"Y"|"Exeter District"|"01392410554"|""|""|""|""|"118 Information"|"01-DEC-2014"
54543503|"Parsons Brinckerhoff"|"02060085"|292443.6|92546.4|1|""|"0001000012317697"|5|292453.4|92575.9|"4000000025321100"|"6"|31.1|"The Forum"|"Barnfield Road"|"Exeter"|"Devon"|"EX1 1QR"|"Y"|"Exeter District"|"01392229700"|"www.pbworld.com"|"Parsons Brinckerhoff"|""|""|"118 Information"|"01-DEC-2014"
55068824|"Cathedral Appointments"|"02050078"|292354.1|92519.5|1|""|"0001000012317684"|5|292337.3|92527.2|"4000000025306051"|"5"|18.5|"33"|"Southernhay East"|"Exeter"|"Devon"|"EX1 1NX"|"Y"|"Exeter District"|"01392413577"|"www.cathedralappointments.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
68806675|"Belmont Chapel"|"06340459"|292732|92951.7|1|""|"0001000012317507"|5|292715.7|92965.1|"4000000025321258"|"5"|21.1|""|"Western Way"|"Exeter"|"Devon"|"EX1 2DB"|"Y"|"Exeter District"|"01392258029"|"www.belmontchapel.org.uk"|""|"Religion"|"Evangelical (Christian)"|"118 Information"|"01-DEC-2014"
68791050|"St Sidwell's Community Centre"|"06340456"|292439.7|93067.5|1|""|"0001000012323825"|3|292430.3|93078.9|"4000000025336204"|"4"|14.8|""|"Sidwell Street"|"Exeter"|"Devon"|"EX4 6NN"|"Y"|"Exeter District"|"01392666222"|"www.stsidwells.org.uk"|""|""|""|"118 Information"|"01-DEC-2014"
75451490|"Asset Skills Training"|"05320403"|292296.1|93018.2|1|""|"0001000012323986"|3|292311.1|93015.6|"4000000025336184"|"4"|15.3|"23"|"Longbrook Street"|"Exeter"|"Devon"|"EX4 6AB"|"Y"|"Exeter District"|"08448581643"|"www.assetskillstraining.org"|"Asset Skills"|""|""|"118 Information"|"01-DEC-2014"
78529267|"Devon Wildlife Trust"|"06350817"|291849.4|92190.5|1|""|"0001000012292054"|7|291848|92146|"4000000025446617"|"2"|44.5|"Cricklepit Mill"|"Commercial Road"|"Exeter"|"Devon"|"EX2 4AB"|"Y"|"Exeter District"|"01392279244"|"www.devonwildlifetrust.org"|""|""|""|"118 Information"|"01-DEC-2014"
80832033|"House of Fraser"|"09480700"|292096|92687.6|1|""|"0001000012317830"|5|292076.3|92711.3|"4000000025458670"|"1"|30.8|"35"|"High Street"|"Exeter"|"Devon"|"EX4 3LN"|"Y"|"Exeter District"|"08448003727"|"www.houseoffraser.co.uk"|"House of Fraser"|""|""|"118 Information"|"01-DEC-2014"
91369390|"Bike Shed Theatre"|"04250315"|291804.9|92487.9|1|""|"0001000012291621"|9|291832.3|92464.6|"4000000025320943"|"5"|36|"Pickwick Arcade 162-163"|"Fore Street"|"Exeter"|"Devon"|"EX4 3AT"|"Y"|"Exeter District"|"01392434169"|"www.bikeshedtheatre.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
97788169|"Illicit Web Design"|"02080117"|291695.6|92350.2|1|""|"0001000012292261"|7|291721.4|92329.7|"4000000025320942"|"6"|32.9|"135"|"Fore Street"|"Exeter"|"Devon"|"EX4 3AN"|"Y"|"Exeter District"|"01392757007"|"www.illicitwebdesign.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
103263373|"Whistle Wines"|"09470671"|291855|92959|1|""|"0001000012290959"|4|291839.3|92946.2|"4000000025306012"|"8"|20.3|"2 Central Station Buildings"|"Queen Street"|"Exeter"|"Devon"|"EX4 3SB"|"Y"|"Exeter District"|"01392421363"|"www.whistlewines.com"|""|""|""|"118 Information"|"01-DEC-2014"
104553412|"The Devon School of Yoga"|"05280330"|292746.9|92623.9|1|""|"0001000012317141"|2|292753.2|92602|"4000000025306067"|"6"|22.7|"Flat  4"|"Barnfield Hill"|"Exeter"|"Devon"|"EX1 1SR"|"Y"|"Exeter District"|"01392420573"|"www.devonyoga.com"|""|""|""|"118 Information"|"01-DEC-2014"
103815505|"Sarah Hornblower"|"02090154"|292197.9|92046|1|""|"0001000012320145"|5|292182.4|92030.6|"4000000025306048"|"3"|21.8|"8"|"Colleton Crescent"|"Exeter"|"Devon"|"EX2 4DG"|"Y"|"Exeter District"|"01392208484"|"www.rougemontchambers.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
103813905|"P5 Oriental Foods"|"09470699"|291811.1|92639.4|1|""|"1000002070614022"|4|291819.8|92647.9|"4000000025305983"|"8"|12.1|"22"|"North Street"|"Exeter"|"Devon"|"EX4 3QS"|"Y"|"Exeter District"|"07794486566"|""|""|""|""|"118 Information"|"01-DEC-2014"
105203873|"Ganges Restaurant"|"01020043"|291788.4|92444|1|""|"0001000012291633"|5|291803.8|92430.9|"4000000025320943"|"5"|20.2|"156"|"Fore Street"|"Exeter"|"Devon"|"EX4 3AT"|"Y"|"Exeter District"|"01392412014"|"www.gangesrestaurant.co.uk"|""|"Restaurant Type"|"Indian Restaurant"|"118 Information"|"01-DEC-2014"
108315764|"Dave Treharne Discos"|"04210276"|292795.3|93833|1|""|"0001000012321772"|4|292791.2|93852.6|"4000000025306130"|"5"|20.1|"43"|"Union Road"|"Exeter"|"Devon"|"EX4 6HU"|"Y"|"Exeter District"|"07802741082"|""|""|""|""|"118 Information"|"01-DEC-2014"
108353970|"Elk Salon"|"02100156"|292392.1|92787.3|1|""|"1000002070809059"|4|292397.8|92818.9|"4000000025321217"|"8"|32.1|"6"|"Paris Street"|"Exeter"|"Devon"|"EX1 1GA"|"Y"|"Exeter District"|"01392434099"|"www.elksalon.com"|""|""|""|"118 Information"|"01-DEC-2014"
109084926|"H M V UK Ltd"|"09480689"|292269.6|92782|1|""|"1000002070809085"|2|292235|92830.5|"4000000025295481"|"8"|59.6|"10-11"|"Princesshay"|"Exeter"|"Devon"|"EX1 1GE"|"Y"|"Exeter District"|"01392457770"|"www.hmv.com"|"H M V"|""|""|"118 Information"|"01-DEC-2014"
110620001|"Card Factory"|"09480717"|292228.7|92853.3|1|""|"1000002070862927"|1|292241.6|92835.2|"4000000025295481"|"8"|22.2|"249"|"High Street"|"Exeter"|"Devon"|"EX4 3PZ"|"Y"|"Exeter District"|"01392848341"|"www.cardfactory.eu.com"|"Card Factory"|""|""|"118 Information"|"01-DEC-2014"
110611783|"Central Cafe"|"01020013"|291871.8|92938.1|1|""|"0001000012290515"|4|291856.3|92925.4|"4000000025306012"|"8"|20|"Central Station Buildings"|"Queen Street"|"Exeter"|"Devon"|"EX4 3SB"|"Y"|"Exeter District"|"01392275487"|""|""|""|""|"118 Information"|"01-DEC-2014"
114129732|"Perfect Paws Grooming & Spa Ltd"|"05260316"|291394.2|92124.5|1|""|"0001000012292506"|4|291403.3|92138.1|"4000000025320940"|"8"|16.4|"25"|"Okehampton Street"|"Exeter"|"Devon"|"EX4 1DY"|"Y"|"Exeter District"|"01392279449"|""|""|""|""|"118 Information"|"01-DEC-2014"
64041162|"Electricity Sub Station"|"06340433"|292591|93048|2|""|"Not Assigned"|0|292590.3|93045.9|"4000000025458661"|"2"|2.2|""|""|""|"Devon"|"EX1"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
64041120|"Electricity Sub Station"|"06340433"|292023|92161|2|""|"Not Assigned"|0|291995|92150|"4000000025321092"|"3"|30.1|""|""|""|"Devon"|"EX2"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
64074763|"Electricity Sub Station"|"06340433"|291876|92402|2|""|"Not Assigned"|0|291855.3|92417.9|"4000000025320946"|"5"|26.1|""|""|""|"Devon"|"EX1"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
64406782|"Pcs"|"06340461"|292115|92703|1|""|"1000002070862917"|1|292093.4|92726.6|"4000000025295481"|"8"|32|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
64007126|"Electricity Sub Station"|"06340433"|291994|92332|2|""|"Not Assigned"|0|292008.5|92324.1|"4000000025321097"|"4"|16.5|""|""|""|"Devon"|"EX1"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
68658638|"Tennis Courts"|"04240305"|291544|93905|1|""|"1000002062028988"|7|291524.3|93896.9|"4000000025295501"|"4"|21.3|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
76280448|"Playground"|"03180255"|292098|93652|1|""|"1000002062256069"|2|292115.4|93595.3|"4000000025306123"|"5"|59.3|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
76280434|"Playground"|"03180255"|292420|92223|1|""|"1000002062243818"|6|292440.7|92213|"4000000025321086"|"3"|23|""|""|""|"Devon"|"EX2"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
84393000|"Newton Stores"|"02090811"|292893.7|92996.4|1|""|"0001000012317462"|6|292906.6|92984.9|"4000000025336238"|"3"|17.3|"30"|"Clifton Road"|"Exeter"|"Devon"|"EX1 2BW"|"Y"|"Exeter District"|""|"www.paypoint.co.uk"|"PayPoint"|""|""|"PayPoint"|"01-DEC-2014"
95351329|"Leamans"|"02110190"|292072.7|92371.5|1|""|"0001000012320501"|5|292058.3|92360.9|"4000000025321079"|"4"|17.9|"33"|"South Street"|"Exeter"|"Devon"|"EX1 1ED"|"Y"|"Exeter District"|""|""|""|""|""|"Local Data Company"|"01-DEC-2014"
95352137|"Raj India"|"01020043"|292627.2|93118.8|1|""|"0001000012322966"|6|292616.7|93131|"4000000025321260"|"5"|16|"130"|"Sidwell Street"|"Exeter"|"Devon"|"EX4 6RY"|"Y"|"Exeter District"|""|""|""|"Restaurant Type"|"Indian Restaurant"|"Local Data Company"|"01-DEC-2014"
95332383|"Oriental Grocery"|"09470699"|291814.4|92378.6|1|""|"0001000012291604"|6|291821.5|92372.9|"4000000025458664"|"2"|9.1|"6 City Arcade"|"Fore Street"|"Exeter"|"Devon"|"EX4 3JE"|"Y"|"Exeter District"|""|""|""|""|""|"Local Data Company"|"01-DEC-2014"
104039257|"Cheque Centre"|"02090142"|292531.4|93083.5|1|""|"0001000012322913"|5|292545.4|93067.8|"4000000025321220"|"4"|21|"42"|"Sidwell Street"|"Exeter"|"Devon"|"EX4 6NS"|"Y"|"Exeter District"|"0800243028"|"www.chequecentre.co.uk"|"Cheque Centre"|""|""|"Local Data Company"|"01-DEC-2014"
104609601|"Jaeger"|"09460656"|292096|92687.6|1|""|"0001000012317830"|5|292076.3|92711.3|"4000000025458670"|"1"|30.8|"35"|"High Street"|"Exeter"|"Devon"|"EX4 3LN"|"Y"|"Exeter District"|"01392498316"|"www.jaeger.co.uk"|"Jaeger"|""|""|"Local Data Company"|"01-DEC-2014"
105189499|"Serenity"|"02100156"|291954.3|92762.4|1|""|"0001000012291129"|4|291971.2|92776.3|"4000000025321251"|"4"|21.9|"14a"|"Guildhall Shopping Centre"|"Exeter"|"Devon"|"EX4 3HG"|"Y"|"Exeter District"|""|""|""|""|""|"Local Data Company"|"01-DEC-2014"
111300627|"City Barbers"|"02100156"|291917.4|92521.9|1|""|"0001000012290086"|5|291935.6|92533.9|"4000000025306045"|"5"|21.9|"101"|"South Street"|"Exeter"|"Devon"|"EX1 1EN"|"Y"|"Exeter District"|""|""|""|""|""|"Local Data Company"|"01-DEC-2014"
111300850|"U S C"|"09460656"|292204.9|92833|1|""|"0001000012318239"|6|292216.2|92817.1|"4000000025295481"|"8"|19.5|"Unit 1-2  247"|"High Street"|"Exeter"|"Devon"|"EX4 3PZ"|"Y"|"Exeter District"|"08008766682"|"www.usc.co.uk"|"U S C"|""|""|"Local Data Company"|"01-DEC-2014"
111312740|"Ben & Jerry's"|"01020018"|292656|92951|1|""|"1000002070655284"|5|292637.3|92949.6|"4000000025458631"|"3"|18.7|"Summerland Gate, Vue, Cheeke Street"|"City Centre"|"Exeter"|"Devon"|"EX1 2DD"|"N"|"Exeter District"|"01752670082"|"www.benjerry.co.uk"|"Ben & Jerry's"|""|""|"Local Data Company"|"01-DEC-2014"
123167186|"Tesco Express"|"09470699"|292635|93203|1|""|"5000005122801201"|1|292661.1|93169.1|"4000000025321260"|"5"|42.8|"69-73, Sidwell Street"|"City Centre"|"Exeter"|"Devon"|"EX4 6PJ"|"N"|"Exeter District"|""|"www.tesco.com"|"Tesco Express"|""|""|"Local Data Company"|"01-DEC-2014"
123162626|"Fone Customize"|"09480726"|291977.6|92651.8|1|""|"0001000012290358"|3|291989.1|92639.1|"4000000025460692"|"1"|17.1|"204"|"High Street"|"Exeter"|"Devon"|"EX4 3EB"|"Y"|"Exeter District"|""|""|""|""|""|"Local Data Company"|"01-DEC-2014"
16250586|"Public Telephone"|"06340460"|291822|92452|3|""|"Not Assigned"|0|291821.8|92452.2|"4000000025320943"|"5"|0.3|"Fore Street"|""|"Exeter"|"Devon"|"EX4 3HX"|"N"|"Exeter District"|"01392431916"|""|""|""|""|"UK Payphone Directory"|"01-DEC-2014"
26352167|"HM Prison & Young Offenders Institution Exeter"|"05280369"|291952.5|93166.2|1|""|"0001000012294748"|5|291957.2|93143|"4000000025439368"|"2"|23.6|""|"New North Road"|"Exeter"|"Devon"|"EX4 4EX"|"Y"|"Exeter District"|"01392415788"|""|""|""|""|"Beechwood House Publishing Ltd"|"01-DEC-2014"
17784125|"Flagstaff"|"03170245"|292110|93820|2|""|"Not Assigned"|0|292145.9|93855.3|"4000000025295517"|"5"|50.3|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
21071223|"Cash Machine (National Westminster Bank/NatWest)"|"02090141"|291987.5|92614|1|""|"Not Assigned"|0|291975.7|92627.1|"4000000025460692"|"1"|17.6|"Exeter Bank Branch 59"|"High Street"|"Exeter"|"Devon"|"EX4 3DL"|"Y"|"Exeter District"|""|""|""|"Public Accessibility"|"Unknown"|"VocaLink"|"01-DEC-2014"
113024347|"Cash Machine (InfoCash Ltd)"|"02090141"|292893.7|92996.4|1|""|"Not Assigned"|0|292906.6|92984.9|"4000000025336238"|"3"|17.3|"30"|"Clifton Road"|"Exeter"|"Devon"|"EX1 2BW"|"Y"|"Exeter District"|""|""|""|"Public Accessibility"|"ATM inside a location that is accessible in approximate office hours, including branch customer area"|"VocaLink"|"01-DEC-2014"
115403445|"Cash Machine (Bank Machine Limited)"|"02090141"|292475|92863|2|""|"Not Assigned"|0|292453.8|92889.5|"4000000025321226"|"6"|33.9|"Opposite Stage Coach Travel Shop"|"Exeter Coach Station"|"Exeter"|"Devon"|"EX1 2JX"|"N"|"Exeter District"|""|""|""|"Public Accessibility"|"Through the wall with 24 hour accessibility, opens onto public throughfare"|"VocaLink"|"01-DEC-2014"
21841387|"Streatham Rise"|"10590732"|291473|93559|1|""|"Not Assigned"|0|291470|93563.4|"4000000025321038"|"6"|5.4|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvndmdmd"|"Department for Transport"|"01-DEC-2014"
21840965|"Blackall Road"|"10590732"|292405|93374|1|""|"Not Assigned"|0|292406.9|93373.6|"4000000025321281"|"3"|2|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvndmjtd"|"Department for Transport"|"01-DEC-2014"
27228396|"Culverland Road"|"10590732"|292754|93837|1|""|"Not Assigned"|0|292752.3|93844|"4000000025306130"|"5"|7.2|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvngjgdm"|"Department for Transport"|"01-DEC-2014"
41263531|"Bystock Terrace"|"10540736"|291679|93064|1|""|"1000002062036825"|3|291678.6|93064.2|"4000000025458618"|"2"|0.4|"Bystock Terrace"|""|"Exeter"|"Devon"|"EX4 4HY"|"N"|"Exeter District"|""|""|""|""|""|"Department for Transport (Parking)"|"01-DEC-2014"
48076711|"John Gandy's"|"01020034"|292009.5|92812.3|1|""|"0001000012318053"|4|292000.8|92806.4|"4000000025321252"|"5"|10.5|"23"|"Gandy Street"|"Exeter"|"Devon"|"EX4 3LS"|"Y"|"Exeter District"|"01392213924"|"www.johngandys.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
48073563|"The Kings"|"01020034"|291441.7|92042.1|1|""|"0001000012293055"|4|291465.9|92017.9|"4000000025335864"|"5"|34.2|"173"|"Cowick Street"|"Exeter"|"Devon"|"EX4 1AA"|"Y"|"Exeter District"|"01392275909"|""|""|""|""|"118 Information"|"01-DEC-2014"
48078457|"Chaucers Inn"|"01020034"|292039.3|92721.5|1|""|"0001000012317953"|5|292057.9|92696.5|"4000000025458670"|"1"|31.2|"226"|"High Street"|"Exeter"|"Devon"|"EX4 3LR"|"Y"|"Exeter District"|"01392422365"|"www.marstonsinnsandtaverns.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
48733563|"Orvis"|"09480700"|292117.5|92642.1|1|""|"0001000012317755"|4|292108.7|92630.7|"4000000025450492"|"3"|14.4|"4"|"Cathedral Close"|"Exeter"|"Devon"|"EX1 1EZ"|"Y"|"Exeter District"|"01392848606"|"www.orvis.co.uk"|"Orvis"|""|""|"118 Information"|"01-DEC-2014"
48757618|"Shoe Zone"|"09460657"|291950.5|92642.1|1|""|"0001000012290368"|4|291969.3|92621.3|"4000000025460692"|"1"|28.1|"200"|"High Street"|"Exeter"|"Devon"|"EX4 3EB"|"Y"|"Exeter District"|"01392259298"|"www.shoezone.com"|"Shoe Zone"|""|""|"118 Information"|"01-DEC-2014"
54584384|"Adecco"|"02050078"|291968.8|92804.5|1|""|"0001000012290449"|5|291956.4|92794.3|"4000000025321251"|"4"|16|"79-82"|"Queen Street"|"Exeter"|"Devon"|"EX4 3RW"|"Y"|"Exeter District"|"01392260630"|"www.adecco.co.uk"|"Adecco"|""|""|"118 Information"|"01-DEC-2014"
54759709|"University of Exeter Rag Charities Appeal"|"02090148"|291818.7|93966.7|1|""|"5000005102986979"|1|291786|94064|"4000000025321421"|"7"|102.6|"Devonshire House"|"Stocker Road"|"Exeter"|"Devon"|"EX4 4PZ"|"Y"|"Exeter District"|"01392263514"|""|""|""|""|"118 Information"|"01-DEC-2014"
54938272|"D C H"|"02110191"|292536.9|92819.4|1|""|"0001000012317618"|2|292534.7|92833.8|"4000000025336179"|"5"|14.6|"72"|"Paris Street"|"Exeter"|"Devon"|"EX1 2JZ"|"Y"|"Exeter District"|"01392252566"|"www.dchgroup.com"|""|""|""|"118 Information"|"01-DEC-2014"
55034018|"Gemini Taxis"|"02150230"|292086.7|92290.8|1|""|"0001000012320486"|5|292101.6|92302.7|"4000000025321079"|"4"|19.1|"53a"|"South Street"|"Exeter"|"Devon"|"EX1 1EE"|"Y"|"Exeter District"|"01392666666"|"www.geminitaxis.com"|""|""|""|"118 Information"|"01-DEC-2014"
55045591|"Jamar Group"|"02150228"|292128.3|92785|1|""|"0001000012318011"|5|292143|92764.7|"4000000025295481"|"8"|25.1|"Pearl Assurance House 236"|"High Street"|"Exeter"|"Devon"|"EX4 3NE"|"Y"|"Exeter District"|"01392410984"|"www.jamar.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
55054228|"Timpson"|"02130793"|292433.1|92931.9|1|""|"0001000012318180"|5|292417.7|92948.1|"4000000025306105"|"6"|22.3|"176"|"Sidwell Street"|"Exeter"|"Devon"|"EX4 6RH"|"Y"|"Exeter District"|"01392434863"|"www.timpson.com"|"Timpson"|""|""|"118 Information"|"01-DEC-2014"
54947875|"Kirk Radio Exeter Ltd"|"02600111"|292644.6|93134.2|1|""|"0001000012322960"|5|292634.4|93146.1|"4000000025321260"|"5"|15.7|"126"|"Sidwell Street"|"Exeter"|"Devon"|"EX4 6RY"|"Y"|"Exeter District"|"01392251002"|""|""|""|""|"118 Information"|"01-DEC-2014"
64302507|"The South West Business Centre"|"04250762"|291744.2|93037.8|1|""|"0001000012294360"|4|291758|93048.8|"4000000025306012"|"8"|17.6|"Queensgate House 48"|"Queen Street"|"Exeter"|"Devon"|"EX4 3SR"|"Y"|"Exeter District"|"01392215541"|"www.swbus.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
68812150|"Exeter Spiritualist Church"|"06340459"|292536.8|93144.3|1|""|"0001000012323745"|4|292557.6|93162.4|"4000000025346081"|"4"|27.6|""|"York Road"|"Exeter"|"Devon"|"EX4 6PF"|"Y"|"Exeter District"|"01884861012"|"www.exeterspiritualistchurch.co.uk"|""|"Religion"|"Spiritualist"|"118 Information"|"01-DEC-2014"
68744744|"Kidney Research UK Charity Shop"|"09480714"|292560.7|93114.9|1|""|"0001000042780788"|6|292577.3|93096.4|"4000000025321220"|"4"|24.9|"50"|"Sidwell Street"|"Exeter"|"Devon"|"EX4 6NS"|"Y"|"Exeter District"|"01392254188"|"www.kidneyresearchuk.org"|""|""|""|"118 Information"|"01-DEC-2014"
75371574|"Neal's Yard Remedies Ltd"|"09480677"|292238.3|92626.8|1|""|"1000002070802041"|6|292238.1|92614.6|"4000000025439407"|"3"|12.2|"38"|"Bedford Street"|"Exeter"|"Devon"|"EX1 1GJ"|"Y"|"Exeter District"|"01392438127"|"www.nealsyardremedies.com"|"Neal's Yard Remedies"|""|""|"118 Information"|"01-DEC-2014"
78353935|"The Fry Group"|"02090147"|292318|92687|1|""|"0001000012317920"|4|292339.9|92682.6|"4000000025321230"|"5"|22.3|"Ground Floor Broadwalk House"|"Southernhay West"|"Exeter"|"Devon"|"EX1 1WF"|"N"|"Exeter District"|"01392278494"|"www.thefrygroup.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
80819662|"The Bedroom"|"07370465"|292611|93053|1|""|"0001000012323736"|5|292630.5|93072.5|"4000000025346125"|"3"|27.6|"W D M House"|"Summerland Street"|"Exeter"|"Devon"|"EX1 2AY"|"N"|"Exeter District"|"01392437078"|""|""|""|""|"118 Information"|"01-DEC-2014"
80829631|"J D Sports"|"09480686"|292230|92756|1|""|"1000002070809094"|3|292196.4|92802.9|"4000000025295481"|"8"|57.7|"28"|"Princesshay"|"Exeter"|"Devon"|"EX1 1GE"|"Y"|"Exeter District"|"01392427824"|"www.jdsports.co.uk"|"J D Sports"|""|""|"118 Information"|"01-DEC-2014"
85573956|"Positive Outcome Therapy"|"05290358"|291407.5|93075.2|1|""|"0001000012294774"|2|291432.5|93085.5|"4000000025295464"|"10"|27|"1"|"Walnut Gardens"|"Exeter"|"Devon"|"EX4 4DH"|"Y"|"Exeter District"|"01404813371"|"www.positiveoutcometherapy.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
91405352|"El Bocado"|"01020043"|292088.3|92350.5|1|""|"0001000012320497"|6|292073.8|92339.8|"4000000025321079"|"4"|18|"36-37"|"South Street"|"Exeter"|"Devon"|"EX1 1ED"|"Y"|"Exeter District"|"01392678445"|"www.elbocado.co.uk"|""|"Restaurant Type"|"Restaurant"|"118 Information"|"01-DEC-2014"
95706157|"Isca School of English"|"05320394"|292580.2|92242.6|1|""|"0001000012318959"|4|292602.3|92231.6|"4000000025336096"|"6"|24.7|"4"|"Mount Radford Crescent"|"Exeter"|"Devon"|"EX2 4EN"|"Y"|"Exeter District"|"01392255342"|"www.iscaschool.com"|""|""|""|"118 Information"|"01-DEC-2014"
91425192|"Printing Com Exeter"|"07420599"|291667.2|92328.9|1|""|"0001000012291788"|5|291661.4|92322.2|"4000000025320941"|"6"|8.8|"Bartholomew House"|"Bartholomew Street West"|"Exeter"|"Devon"|"EX4 3AJ"|"Y"|"Exeter District"|"01392495133"|"www.printing.com"|""|""|""|"118 Information"|"01-DEC-2014"
95762046|"Signpost Housing Association"|"01010009"|291213|93094|1|""|"1000002070848007"|1|291200.7|93126.6|"4000000025454384"|"1"|34.8|"Point Exe"|"Brunel Close"|"Exeter"|"Devon"|"EX4 4FD"|"N"|"Exeter District"|"01392213545"|"www.spectrumhousing.co.uk/home/homes/student_keyworker_homes/exeter/point_exe.aspx"|""|""|""|"118 Information"|"01-DEC-2014"
97778209|"Heeras Supermarket"|"09470699"|292562.3|93216.2|1|""|"0001000012323062"|5|292553.8|93221.3|"4000000025321244"|"4"|9.9|"5-6"|"Well Street"|"Exeter"|"Devon"|"EX4 6QR"|"Y"|"Exeter District"|"01392434323"|""|""|""|""|"118 Information"|"01-DEC-2014"
103288839|"Apples & Snakes"|"06350448"|292068|92840|1|""|"0001000012318068"|5|292106|92837|"4000000025321247"|"4"|38.1|"Exeter Centre Library"|"Castle Street"|"Exeter"|"Devon"|"EX4 3PQ"|"N"|"Exeter District"|"01392275741"|"www.applesandsnakes.org"|""|""|""|"118 Information"|"01-DEC-2014"
107628215|"Templar Freight Services"|"02150223"|291744.2|93037.8|1|""|"0001000012294360"|4|291758|93048.8|"4000000025306012"|"8"|17.6|"Queensgate House 48"|"Queen Street"|"Exeter"|"Devon"|"EX4 3SR"|"Y"|"Exeter District"|"01837811168"|"www.templar-freight.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
108300409|"Yo! Sushi"|"01020043"|292178.6|92687.6|1|""|"0001000012317745"|7|292176.4|92651.7|"4000000025439407"|"3"|36|"8"|"Bedford Street"|"Exeter"|"Devon"|"EX1 1LL"|"Y"|"Exeter District"|"01392331340"|"www.yosushi.com"|"Yo! Sushi"|"Restaurant Type"|"Japanese Restaurant"|"118 Information"|"01-DEC-2014"
111223816|"M & A Taxis"|"02150230"|292998.2|92903.5|1|""|"0001000012317353"|4|293000.1|92889.5|"4000000025447634"|"1"|14.1|"6"|"East John Walk"|"Exeter"|"Devon"|"EX1 2EW"|"Y"|"Exeter District"|"01392253253"|""|""|""|""|"118 Information"|"01-DEC-2014"
118137636|"G A P Personnel"|"02050078"|292935.3|92366.6|1|""|"1000002070794246"|1|292935.8|92378.9|"4000000025336089"|"5"|12.4|"Zenith House"|"Magdalen Road"|"Exeter"|"Devon"|"EX2 4TE"|"Y"|"Exeter District"|"01392273665"|"www.gap-personnel.com"|""|""|""|"118 Information"|"01-DEC-2014"
123135992|"Positive Solutions"|"02090147"|292296.4|92588.4|1|""|"0001000012317708"|4|292315.9|92583|"4000000025321085"|"4"|20.2|"20"|"Southernhay West"|"Exeter"|"Devon"|"EX1 1PR"|"Y"|"Exeter District"|"01392439009"|""|""|""|""|"118 Information"|"01-DEC-2014"
63999780|"Electricity Sub Station"|"06340433"|292677|93141|2|""|"Not Assigned"|0|292679.6|93137.8|"4000000025306120"|"3"|4.1|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
